Month,Open,High,Low,Close
August-2017,32579.80,32686.48,31128.02,31730.49,
September-2017,31769.34,32524.11,31081.83,31283.72,
October-2017,31537.81,33340.17,31440.48,33213.13,
November-2017,33344.23,33865.95,32683.59,33149.35,
December-2017,33247.66,34137.97,32565.16,34056.83,
January-2018,34059.99,36443.98,33703.37,35965.02,
February-2018,36048.99,36256.83,33482.81,34184.04,
March-2018,34141.22,34278.63,32483.84,32968.68,
April-2018,33030.87,35213.30,32972.56,35160.36,
May-2018,35328.91,35993.53,34302.89,35322.38,
June-2018,35373.98,35877.41,34784.68,35423.48,
July-2018,35545.22,37644.59,35106.57,37606.58,
August-2018,37643.87,38989.65,37128.99,38645.07,
September-2018,38915.91,38934.35,35985.63,36227.14,
October-2018,36274.25,36616.64,33291.58,34442.05,
November-2018,34650.63,36389.22,34303.38,36194.30,
December-2018,36396.69,36554.99,34426.29,36068.33,
January-2019,36161.80,36701.03,35375.51,36256.69,
February-2019,36311.74,37172.18,35287.16,35867.44,
March-2019,36018.49,38748.54,35926.94,38672.91,
April-2019,38858.88,39487.45,38460.25,39031.55,
May-2019,39036.51,40124.96,36956.10,39714.20,
June-2019,39806.86,40312.07,38870.96,39394.64,
July-2019,39543.73,40032.41,37128.26,37481.12,
August-2019,37387.18,37807.55,36102.35,37332.79,
September-2019,37181.76,39441.12,35987.80,38667.33,
October-2019,38813.48,40392.22,37415.83,40129.05,
November-2019,40196.07,41163.79,40014.23,40793.81,
December-2019,41072.94,41809.96,40135.37,41253.74,
January-2020,41349.36,42273.87,40476.55,40723.49,
February-2020,40753.18,41709.30,38219.97,38297.29,
March-2020,38910.95,39083.17,25638.90,29468.49,
April-2020,29505.33,33887.25,27500.79,33717.62,
May-2020,32748.14,32748.14,31158.75,31642.70,
